brand,sku_or_reference,product_name,product_family,material,dimensions,france_price,france_currency,france_url,us_price,us_currency,us_url,match_method,match_confidence,conflicting_attributes,review_required,france_observation_id,us_observation_id,status
Dior,M0457CUQW_M900,Saddle Small Bag with Strap,Saddle,Grained calfskin,20 x 16 x 5 cm (Longueur x Hauteur x Largeur),3650,EUR,https://www.dior.com/fr_fr/fashion/products/M0457CUQW_M900,4400,USD,https://www.dior.com/en_us/fashion/products/M0457CUQW_M900,exact_official_reference,high,,False,DIOR-FR-M0457CUQW_M900-20260815,DIOR-US-M0457CUQW_M900-20260815,MATCHED
Dior,M0715OUQO_M900,Dior Bow Small Bag,Dior Bow,Lambskin,26 x 16 x 10 cm (Longueur x Hauteur x Largeur),3700,EUR,https://www.dior.com/fr_fr/fashion/products/M0715OUQO_M900,4400,USD,https://www.dior.com/en_us/fashion/products/M0715OUQO_M900,exact_official_reference,high,,False,DIOR-FR-M0715OUQO_M900-20260815,DIOR-US-M0715OUQO_M900-20260815,MATCHED
Dior,M1325OWHP_M900,Small Dior Book Tote,Dior Book Tote,Macrocannage calfskin,26.5 x 22 x 14 cm (Longueur x Hauteur x Largeur),3250,EUR,https://www.dior.com/fr_fr/fashion/products/M1325OWHP_M900,3900,USD,https://www.dior.com/en_us/fashion/products/M1325OWHP_M900,exact_official_reference,high,,False,DIOR-FR-M1325OWHP_M900-20260815,DIOR-US-M1325OWHP_M900-20260815,MATCHED
Dior,M1388OEJP_M19I,Medium Dior Blooming Basket Bag,Dior Blooming,Raffia-effect Cannage and calfskin,51 x 31.5 x 15 cm (Longueur x Hauteur x Largeur),3100,EUR,https://www.dior.com/fr_fr/fashion/products/M1388OEJP_M19I,3700,USD,https://www.dior.com/en_us/fashion/products/M1388OEJP_M19I,exact_official_reference,high,,False,DIOR-FR-M1388OEJP_M19I-20260815,DIOR-US-M1388OEJP_M19I-20260815,MATCHED
Dior,M1388OEJP_M918,Medium Dior Blooming Basket Bag,Dior Blooming,Raffia-effect Cannage and calfskin,51 x 31.5 x 15 cm (Longueur x Hauteur x Largeur),3100,EUR,https://www.dior.com/fr_fr/fashion/products/M1388OEJP_M918,3700,USD,https://www.dior.com/en_us/fashion/products/M1388OEJP_M918,exact_official_reference,high,,False,DIOR-FR-M1388OEJP_M918-20260815,DIOR-US-M1388OEJP_M918-20260815,MATCHED
Dior,M1409OHSU_M09I,Sac shopping Dior Promenade Medium,Dior Promenade,Veau velours Flat Cannage,37 x 29 x 14 cm (Longueur x Hauteur x Largeur),3800,EUR,https://www.dior.com/fr_fr/fashion/products/M1409OHSU_M09I,4500,USD,https://www.dior.com/en_us/fashion/products/M1409OHSU_M09I,exact_official_reference,high,,False,DIOR-FR-M1409OHSU_M09I-20260815,DIOR-US-M1409OHSU_M09I-20260815,MATCHED
Dior,M1409OTZQ_M928,Sac shopping Dior Promenade Medium,Dior Promenade,Dior Oblique jacquard,37 x 29 x 14 cm (Longueur x Hauteur x Largeur),3000,EUR,https://www.dior.com/fr_fr/fashion/products/M1409OTZQ_M928,3600,USD,https://www.dior.com/en_us/fashion/products/M1409OTZQ_M928,exact_official_reference,high,,False,DIOR-FR-M1409OTZQ_M928-20260815,DIOR-US-M1409OTZQ_M928-20260815,MATCHED
Dior,M1410OHST_M911,Sac shopping Dior Promenade Small,Dior Promenade,Veau calfskin Flat Cannage,27 x 20 x 12.5 cm (Longueur x Hauteur x Largeur),3400,EUR,https://www.dior.com/fr_fr/fashion/products/M1410OHST_M911,4000,USD,https://www.dior.com/en_us/fashion/products/M1410OHST_M911,exact_official_reference,high,,False,DIOR-FR-M1410OHST_M911-20260815,DIOR-US-M1410OHST_M911-20260815,MATCHED
Dior,M1410OHST_M912,Sac shopping Dior Promenade Small,Dior Promenade,Veau calfskin Flat Cannage,27 x 20 x 12.5 cm (Longueur x Hauteur x Largeur),3400,EUR,https://www.dior.com/fr_fr/fashion/products/M1410OHST_M912,4000,USD,https://www.dior.com/en_us/fashion/products/M1410OHST_M912,exact_official_reference,high,,False,DIOR-FR-M1410OHST_M912-20260815,DIOR-US-M1410OHST_M912-20260815,MATCHED
Dior,M1411OHJW_M911,Diorly Large Bag,Diorly,Calfskin Flat Cannage,39 x 31 x 10 cm (Longueur x Hauteur x Largeur),4500,EUR,https://www.dior.com/fr_fr/fashion/products/M1411OHJW_M911,5200,USD,https://www.dior.com/en_us/fashion/products/M1411OHJW_M911,exact_official_reference,high,,False,DIOR-FR-M1411OHJW_M911-20260815,DIOR-US-M1411OHJW_M911-20260815,MATCHED
